name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason,_kept_source,_kept_external_source_id,_kept_name_en
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",,,MEAT,346.0,19.3,2.63,28.1,,USDA_FDC_FOUNDATION,332864,2026-04-30,True,,sausage pork chorizo link or ground cooked pan fried,1,,USDA_FDC_FOUNDATION,100173,"Sausage, pork, chorizo, link or ground, cooked, pan-fried"
"Bananas, overripe, raw",,,FRUIT,85.0,0.73,20.1,0.22,,USDA_FDC_FOUNDATION,790774,2026-04-30,True,,bananas overripe raw,1,,USDA_FDC_FOUNDATION,100254,"Bananas, overripe, raw"
"Mushroom, lion's mane",,,VEGETABLE,35.11,2.5,7.59,0.26,,USDA_FDC_FOUNDATION,1750344,2026-04-30,True,,mushroom lion s mane,1,,USDA_FDC_FOUNDATION,100259,"Mushroom, lion's mane"
"Spinach, baby",,,VEGETABLE,20.73,2.85,2.41,0.62,,USDA_FDC_FOUNDATION,1750352,2026-04-30,True,,spinach baby,1,,USDA_FDC_FOUNDATION,100260,"Spinach, baby"
"Tomato, roma",,,VEGETABLE,18.95,0.7,3.84,0.42,,USDA_FDC_FOUNDATION,1750354,2026-04-30,True,,tomato roma,1,,USDA_FDC_FOUNDATION,100261,"Tomato, roma"
"Grapes, red, seedless, raw",,,FRUIT,77.15,0.91,20.2,0.16,,USDA_FDC_FOUNDATION,2263890,2026-04-30,True,,grapes red seedless raw,1,,USDA_FDC_FOUNDATION,100279,"Grapes, red, seedless, raw"
"Grapes, green, seedless, raw",,,FRUIT,71.94,0.9,18.6,0.23,,USDA_FDC_FOUNDATION,2263891,2026-04-30,True,,grapes green seedless raw,1,,USDA_FDC_FOUNDATION,100280,"Grapes, green, seedless, raw"
"Cheese, cottage, lowfat, 2% milkfat",,,EGGS,81.0,10.45,4.76,2.27,,USDA_FDC_SR_LEGACY,1015,2018-04,True,,cheese cottage lowfat 2 milkfat,3,,USDA_FDC_FOUNDATION,1015,"Cheese, cottage, lowfat, 2% milkfat"
"Cheese, mozzarella, low moisture, part-skim",,,EGGS,295.0,23.75,5.58,19.78,,USDA_FDC_SR_LEGACY,1029,2018-04,True,,cheese mozzarella low moisture part skim,3,,USDA_FDC_FOUNDATION,1029,"Cheese, mozzarella, low moisture, part-skim"
"Cheese, parmesan, grated",,,EGGS,420.0,28.42,13.91,27.84,,USDA_FDC_SR_LEGACY,1032,2018-04,True,,cheese parmesan grated,3,,USDA_FDC_FOUNDATION,1032,"Cheese, parmesan, grated"
