name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason
"Sauce, salsa, ready-to-serve",,,MIXED_DISHES,29.0,1.44,6.74,0.19,,USDA_FDC_FOUNDATION,324038,2026-04-30,True,,sauce salsa ready to serve,1,
"Sauce, pasta, spaghetti/marinara, ready-to-serve",,,MIXED_DISHES,45.0,1.41,8.05,1.48,,USDA_FDC_FOUNDATION,6931,2026-04-30,True,,sauce pasta spaghetti marinara ready to serve,1,
"Sauce, salsa, ready-to-serve",,,MIXED_DISHES,29.0,1.44,6.74,0.19,,USDA_FDC_FOUNDATION,6164,2026-04-30,True,,sauce salsa ready to serve,1,
"Soup, black bean, canned, condensed",,,MIXED_DISHES,91.0,4.83,15.42,1.32,,USDA_FDC_SR_LEGACY,6002,2018-04,True,,soup black bean canned condensed,3,
"Soup, bean with pork, canned, condensed",,,MIXED_DISHES,129.0,5.88,16.97,4.42,,USDA_FDC_SR_LEGACY,6004,2018-04,True,,soup bean with pork canned condensed,3,
"Soup, bean with frankfurters, canned, condensed",,,MIXED_DISHES,142.0,7.6,16.75,5.31,,USDA_FDC_SR_LEGACY,6006,2018-04,True,,soup bean with frankfurters canned condensed,3,
"Soup, bean with ham, canned, chunky, ready-to-serve",,,MIXED_DISHES,95.0,5.19,11.16,3.5,,USDA_FDC_SR_LEGACY,6007,2018-04,True,,soup bean with ham canned chunky ready to serve,3,
"Soup, chicken, canned, chunky, ready-to-serve",,,MIXED_DISHES,71.0,5.06,6.88,2.64,,USDA_FDC_SR_LEGACY,6015,2018-04,True,,soup chicken canned chunky ready to serve,3,
"Soup, cream of chicken, canned, condensed",,,MIXED_DISHES,90.0,2.38,7.16,5.77,,USDA_FDC_SR_LEGACY,6016,2018-04,True,,soup cream of chicken canned condensed,3,
"Soup, chicken gumbo, canned, condensed",,,MIXED_DISHES,45.0,2.1,6.67,1.14,,USDA_FDC_SR_LEGACY,6017,2018-04,True,,soup chicken gumbo canned condensed,3,
"Soup, chunky chicken noodle, canned, ready-to-serve",,,MIXED_DISHES,41.0,3.09,4.46,1.16,,USDA_FDC_SR_LEGACY,6018,2018-04,True,,soup chunky chicken noodle canned ready to serve,3,
"Soup, chicken vegetable, canned, condensed",,,MIXED_DISHES,61.0,2.94,7.01,2.32,,USDA_FDC_SR_LEGACY,6025,2018-04,True,,soup chicken vegetable canned condensed,3,
"Soup, chili beef, canned, condensed",,,MIXED_DISHES,117.0,5.09,18.86,2.53,,USDA_FDC_SR_LEGACY,6026,2018-04,True,,soup chili beef canned condensed,3,
"Soup, clam chowder, manhattan style, canned, chunky, ready-to-serve",,,MIXED_DISHES,56.0,3.02,7.84,1.41,,USDA_FDC_SR_LEGACY,6027,2018-04,True,,soup clam chowder manhattan style canned chunky ready to serve,3,
"Soup, clam chowder, manhattan, canned, condensed",,,MIXED_DISHES,61.0,1.74,9.74,1.76,,USDA_FDC_SR_LEGACY,6028,2018-04,True,,soup clam chowder manhattan canned condensed,3,
"Soup, minestrone, canned, condensed",,,MIXED_DISHES,68.0,3.48,9.17,2.05,,USDA_FDC_SR_LEGACY,6040,2018-04,True,,soup minestrone canned condensed,3,
"Soup, mushroom barley, canned, condensed",,,MIXED_DISHES,61.0,1.5,9.6,1.8,,USDA_FDC_SR_LEGACY,6042,2018-04,True,,soup mushroom barley canned condensed,3,
"Soup, cream of mushroom, canned, condensed",,,MIXED_DISHES,79.0,1.35,6.8,5.3,,USDA_FDC_SR_LEGACY,6043,2018-04,True,,soup cream of mushroom canned condensed,3,
"Soup, mushroom with beef stock, canned, condensed",,,MIXED_DISHES,68.0,2.51,7.41,3.21,,USDA_FDC_SR_LEGACY,6044,2018-04,True,,soup mushroom with beef stock canned condensed,3,
"Soup, pea, split with ham, canned, condensed",,,MIXED_DISHES,141.0,7.68,20.81,3.28,,USDA_FDC_SR_LEGACY,6051,2018-04,True,,soup pea split with ham canned condensed,3,
"Soup, cream of potato, canned, condensed",,,MIXED_DISHES,74.0,1.51,12.79,1.88,,USDA_FDC_SR_LEGACY,6053,2018-04,True,,soup cream of potato canned condensed,3,
"Soup, cream of shrimp, canned, condensed",,,MIXED_DISHES,72.0,2.22,6.53,4.14,,USDA_FDC_SR_LEGACY,6056,2018-04,True,,soup cream of shrimp canned condensed,3,
"Soup, tomato beef with noodle, canned, condensed",,,MIXED_DISHES,112.0,3.55,16.87,3.42,,USDA_FDC_SR_LEGACY,6061,2018-04,True,,soup tomato beef with noodle canned condensed,3,
"Soup, vegetarian vegetable, canned, condensed",,,MIXED_DISHES,59.0,1.72,9.78,1.58,,USDA_FDC_SR_LEGACY,6068,2018-04,True,,soup vegetarian vegetable canned condensed,3,
"Soup, chunky beef, canned, ready-to-serve",,,MIXED_DISHES,66.0,3.97,10.08,1.11,,USDA_FDC_SR_LEGACY,6070,2018-04,True,,soup chunky beef canned ready to serve,3,
"Soup, vegetable beef, canned, condensed",,,MIXED_DISHES,63.0,4.45,8.11,1.51,,USDA_FDC_SR_LEGACY,6071,2018-04,True,,soup vegetable beef canned condensed,3,
"Soup, vegetable with beef broth, canned, condensed",,,MIXED_DISHES,66.0,2.42,10.7,1.56,,USDA_FDC_SR_LEGACY,6072,2018-04,True,,soup vegetable with beef broth canned condensed,3,
"Soup, onion, dry, mix",,,MIXED_DISHES,293.0,7.48,65.07,0.34,,USDA_FDC_SR_LEGACY,6094,2018-04,True,,soup onion dry mix,3,
"Soup, cream of vegetable, dry, powder",,,MIXED_DISHES,446.0,8.0,52.1,24.1,,USDA_FDC_SR_LEGACY,6101,2018-04,True,,soup cream of vegetable dry powder,3,
"Sauce, teriyaki, ready-to-serve",,,MIXED_DISHES,89.0,5.93,15.56,0.02,,USDA_FDC_SR_LEGACY,6112,2018-04,True,,sauce teriyaki ready to serve,3,
"Gravy, au jus, canned",,,MIXED_DISHES,16.0,1.2,2.5,0.2,,USDA_FDC_SR_LEGACY,6114,2018-04,True,,gravy au jus canned,3,
"Gravy, au jus, dry",,,MIXED_DISHES,313.0,9.2,47.49,9.63,,USDA_FDC_SR_LEGACY,6115,2018-04,True,,gravy au jus dry,3,
"Gravy, mushroom, canned",,,MIXED_DISHES,50.0,1.26,5.47,2.71,,USDA_FDC_SR_LEGACY,6121,2018-04,True,,gravy mushroom canned,3,
"Gravy, mushroom, dry, powder",,,MIXED_DISHES,328.0,10.0,64.66,4.0,,USDA_FDC_SR_LEGACY,6122,2018-04,True,,gravy mushroom dry powder,3,
"Gravy, onion, dry, mix",,,MIXED_DISHES,322.0,9.0,67.64,3.0,,USDA_FDC_SR_LEGACY,6123,2018-04,True,,gravy onion dry mix,3,
"Gravy, pork, dry, powder",,,MIXED_DISHES,367.0,8.78,63.57,8.63,,USDA_FDC_SR_LEGACY,6124,2018-04,True,,gravy pork dry powder,3,
"Sauce, sofrito, prepared from recipe",,,MIXED_DISHES,237.0,12.8,5.46,18.2,,USDA_FDC_SR_LEGACY,6142,2018-04,True,,sauce sofrito prepared from recipe,3,
"Soup, beef mushroom, canned, condensed",,,MIXED_DISHES,61.0,4.6,5.2,2.4,,USDA_FDC_SR_LEGACY,6147,2018-04,True,,soup beef mushroom canned condensed,3,
"Soup, tomato, canned, prepared with equal volume water, commercial",,,MIXED_DISHES,32.0,0.71,7.45,0.21,,USDA_FDC_SR_LEGACY,6559,2018-04,True,,soup tomato canned prepared with equal volume water commercial,3,
"Soup, ramen noodle, any flavor, dry",,,MIXED_DISHES,440.0,10.17,60.26,17.59,,USDA_FDC_SR_LEGACY,6583,2018-04,True,,soup ramen noodle any flavor dry,3,
"Soup, broccoli cheese, canned, condensed, commercial",,,MIXED_DISHES,87.0,2.1,7.7,5.3,,USDA_FDC_SR_LEGACY,6584,2018-04,True,,soup broccoli cheese canned condensed commercial,3,
"Soup, SWANSON, beef broth, lower sodium",,,MIXED_DISHES,6.0,1.2,0.21,0.08,,USDA_FDC_SR_LEGACY,6611,2018-04,True,,soup swanson beef broth lower sodium,3,
"Soup, SWANSON, vegetable broth",,,MIXED_DISHES,6.0,0.23,1.02,0.07,,USDA_FDC_SR_LEGACY,6615,2018-04,True,,soup swanson vegetable broth,3,
"SMART SOUP, Indian Bean Masala",,,MIXED_DISHES,57.0,3.3,10.5,0.88,,USDA_FDC_SR_LEGACY,6622,2018-04,True,,smart soup indian bean masala,3,
"SMART SOUP, Moroccan Chick Pea",,,MIXED_DISHES,51.0,2.0,9.7,1.06,,USDA_FDC_SR_LEGACY,6623,2018-04,True,,smart soup moroccan chick pea,3,
"SMART SOUP, Thai Coconut Curry",,,MIXED_DISHES,36.0,0.8,6.5,1.06,,USDA_FDC_SR_LEGACY,6624,2018-04,True,,smart soup thai coconut curry,3,
"SMART SOUP, Vietnamese Carrot Lemongrass",,,MIXED_DISHES,44.0,1.3,8.2,1.06,,USDA_FDC_SR_LEGACY,6625,2018-04,True,,smart soup vietnamese carrot lemongrass,3,
"Sauce, pesto, MEZZETTA, NAPA VALLEY BISTRO, basil pesto, ready-to-serve",,,MIXED_DISHES,496.0,6.69,5.12,49.88,,USDA_FDC_SR_LEGACY,6630,2018-04,True,,sauce pesto mezzetta napa valley bistro basil pesto ready to serve,3,
"Sauce, hot chile, sriracha",,,MIXED_DISHES,93.0,1.93,19.16,0.93,,USDA_FDC_SR_LEGACY,6631,2018-04,True,,sauce hot chile sriracha,3,
"Sauce, hot chile, sriracha, CHA! BY TEXAS PETE",,,MIXED_DISHES,108.0,2.02,22.73,0.98,,USDA_FDC_SR_LEGACY,6632,2018-04,True,,sauce hot chile sriracha cha by texas pete,3,
"Sauce, hot chile, sriracha, TUONG OT SRIRACHA",,,MIXED_DISHES,79.0,1.86,15.87,0.9,,USDA_FDC_SR_LEGACY,6633,2018-04,True,,sauce hot chile sriracha tuong ot sriracha,3,
"Soup, vegetable beef, microwavable, ready-to-serve, single brand",,,MIXED_DISHES,44.0,6.2,3.3,0.7,,USDA_FDC_SR_LEGACY,6742,2018-04,True,,soup vegetable beef microwavable ready to serve single brand,3,
"Soup, beef and vegetables, canned, ready-to-serve",,,MIXED_DISHES,48.0,3.18,6.16,1.16,,USDA_FDC_SR_LEGACY,6749,2018-04,True,,soup beef and vegetables canned ready to serve,3,
"Sauce, cheese, ready-to-serve",,,MIXED_DISHES,174.0,6.71,6.83,13.29,,USDA_FDC_SR_LEGACY,6930,2018-04,True,,sauce cheese ready to serve,3,
"Sauce, pasta, spaghetti/marinara, ready-to-serve",,,MIXED_DISHES,50.0,1.39,7.43,1.61,,USDA_FDC_SR_LEGACY,6931,2018-04,True,,sauce pasta spaghetti marinara ready to serve,3,
"Soup, cream of asparagus, canned, condensed",,,MIXED_DISHES,69.0,1.82,8.52,3.26,,USDA_FDC_SR_LEGACY,6001,2018-04,True,,soup cream of asparagus canned condensed,3,
"Soup, beef broth or bouillon canned, ready-to-serve",,,MIXED_DISHES,7.0,1.14,0.04,0.22,,USDA_FDC_SR_LEGACY,6008,2018-04,True,,soup beef broth or bouillon canned ready to serve,3,
"Soup, beef noodle, canned, condensed",,,MIXED_DISHES,67.0,3.85,7.16,2.46,,USDA_FDC_SR_LEGACY,6009,2018-04,True,,soup beef noodle canned condensed,3,
"Soup, cream of celery, canned, condensed",,,MIXED_DISHES,72.0,1.32,7.03,4.46,,USDA_FDC_SR_LEGACY,6010,2018-04,True,,soup cream of celery canned condensed,3,
"Soup, cheese, canned, condensed",,,MIXED_DISHES,82.0,0.8,11.3,3.92,,USDA_FDC_SR_LEGACY,6011,2018-04,True,,soup cheese canned condensed,3,
"Soup, chicken broth, canned, condensed",,,MIXED_DISHES,31.0,4.42,0.75,1.04,,USDA_FDC_SR_LEGACY,6013,2018-04,True,,soup chicken broth canned condensed,3,
"Soup, chicken noodle, canned, condensed",,,MIXED_DISHES,48.0,2.37,6.07,1.55,,USDA_FDC_SR_LEGACY,6019,2018-04,True,,soup chicken noodle canned condensed,3,
"Soup, chicken rice, canned, chunky, ready-to-serve",,,MIXED_DISHES,53.0,5.11,5.41,1.33,,USDA_FDC_SR_LEGACY,6022,2018-04,True,,soup chicken rice canned chunky ready to serve,3,
"Soup, chicken with rice, canned, condensed",,,MIXED_DISHES,68.0,1.84,11.57,1.56,,USDA_FDC_SR_LEGACY,6023,2018-04,True,,soup chicken with rice canned condensed,3,
"Soup, chicken and vegetable, canned, ready-to-serve",,,MIXED_DISHES,33.0,1.97,4.68,0.73,,USDA_FDC_SR_LEGACY,6024,2018-04,True,,soup chicken and vegetable canned ready to serve,3,
"Soup, clam chowder, new england, canned, condensed",,,MIXED_DISHES,72.0,3.17,10.32,2.06,,USDA_FDC_SR_LEGACY,6030,2018-04,True,,soup clam chowder new england canned condensed,3,
"Soup, beef broth bouillon and consomme, canned, condensed",,,MIXED_DISHES,11.0,2.52,0.32,0.0,,USDA_FDC_SR_LEGACY,6032,2018-04,True,,soup beef broth bouillon and consomme canned condensed,3,
"Soup, lentil with ham, canned, ready-to-serve",,,MIXED_DISHES,56.0,3.74,8.16,1.12,,USDA_FDC_SR_LEGACY,6037,2018-04,True,,soup lentil with ham canned ready to serve,3,
"Soup, minestrone, canned, chunky, ready-to-serve",,,MIXED_DISHES,53.0,2.13,8.64,1.17,,USDA_FDC_SR_LEGACY,6039,2018-04,True,,soup minestrone canned chunky ready to serve,3,
"Soup, onion, canned, condensed",,,MIXED_DISHES,46.0,3.06,6.68,1.42,,USDA_FDC_SR_LEGACY,6045,2018-04,True,,soup onion canned condensed,3,
"Soup, cream of onion, canned, condensed",,,MIXED_DISHES,88.0,2.2,10.4,4.2,,USDA_FDC_SR_LEGACY,6046,2018-04,True,,soup cream of onion canned condensed,3,
"Soup, oyster stew, canned, condensed",,,MIXED_DISHES,48.0,1.72,3.32,3.13,,USDA_FDC_SR_LEGACY,6048,2018-04,True,,soup oyster stew canned condensed,3,
"Soup, pea, green, canned, condensed",,,MIXED_DISHES,125.0,6.54,20.18,2.23,,USDA_FDC_SR_LEGACY,6049,2018-04,True,,soup pea green canned condensed,3,
"Soup, pea, split with ham, canned, chunky, ready-to-serve",,,MIXED_DISHES,77.0,4.62,11.17,1.66,,USDA_FDC_SR_LEGACY,6050,2018-04,True,,soup pea split with ham canned chunky ready to serve,3,
"CAMPBELL'S, Chicken Noodle Soup, condensed",,,MIXED_DISHES,47.0,2.37,5.97,1.53,,USDA_FDC_SR_LEGACY,6062,2018-04,True,,campbell s chicken noodle soup condensed,3,
"Soup, tomato rice, canned, condensed",,,MIXED_DISHES,93.0,1.64,17.08,2.12,,USDA_FDC_SR_LEGACY,6063,2018-04,True,,soup tomato rice canned condensed,3,
"Soup, turkey, chunky, canned, ready-to-serve",,,MIXED_DISHES,57.0,4.33,5.96,1.87,,USDA_FDC_SR_LEGACY,6064,2018-04,True,,soup turkey chunky canned ready to serve,3,
"Soup, chunky vegetable, canned, ready-to-serve",,,MIXED_DISHES,39.0,1.14,7.9,0.36,,USDA_FDC_SR_LEGACY,6067,2018-04,True,,soup chunky vegetable canned ready to serve,3,
"Soup, beef broth or bouillon, powder, dry",,,MIXED_DISHES,213.0,15.97,17.4,8.89,,USDA_FDC_SR_LEGACY,6075,2018-04,True,,soup beef broth or bouillon powder dry,3,
"Soup, beef broth, cubed, dry",,,MIXED_DISHES,170.0,17.3,16.1,4.0,,USDA_FDC_SR_LEGACY,6076,2018-04,True,,soup beef broth cubed dry,3,
"Soup, chicken broth or bouillon, dry",,,MIXED_DISHES,267.0,16.66,18.01,13.88,,USDA_FDC_SR_LEGACY,6080,2018-04,True,,soup chicken broth or bouillon dry,3,
"Soup, chicken broth cubes, dry",,,MIXED_DISHES,198.0,14.6,23.5,4.7,,USDA_FDC_SR_LEGACY,6081,2018-04,True,,soup chicken broth cubes dry,3,
"Gravy, beef, canned, ready-to-serve",,,MIXED_DISHES,53.0,3.75,4.81,2.36,,USDA_FDC_SR_LEGACY,6116,2018-04,True,,gravy beef canned ready to serve,3,
"Gravy, brown, dry",,,MIXED_DISHES,367.0,10.74,59.38,9.61,,USDA_FDC_SR_LEGACY,6118,2018-04,True,,gravy brown dry,3,
"Gravy, chicken, canned or bottled, ready-to-serve",,,MIXED_DISHES,48.0,0.71,5.29,2.62,,USDA_FDC_SR_LEGACY,6119,2018-04,True,,gravy chicken canned or bottled ready to serve,3,
"Gravy, chicken, dry",,,MIXED_DISHES,381.0,11.27,62.09,9.73,,USDA_FDC_SR_LEGACY,6120,2018-04,True,,gravy chicken dry,3,
"Gravy, turkey, canned, ready-to-serve",,,MIXED_DISHES,51.0,2.6,5.1,2.1,,USDA_FDC_SR_LEGACY,6125,2018-04,True,,gravy turkey canned ready to serve,3,
"Gravy, turkey, dry",,,MIXED_DISHES,367.0,10.42,65.12,7.19,,USDA_FDC_SR_LEGACY,6126,2018-04,True,,gravy turkey dry,3,
"Gravy, unspecified type, dry",,,MIXED_DISHES,344.0,13.0,58.0,8.0,,USDA_FDC_SR_LEGACY,6127,2018-04,True,,gravy unspecified type dry,3,
"Soup, chicken noodle, dry, mix",,,MIXED_DISHES,377.0,15.42,62.32,6.51,,USDA_FDC_SR_LEGACY,6128,2018-04,True,,soup chicken noodle dry mix,3,
