name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at,_name_key,_source_priority,_invalid_reason
"Beef, ground, 90% lean meat / 10% fat, raw",,,MEAT,190.13,18.16,0.0,12.85,,USDA_FDC_FOUNDATION,23562,2026-04-30,True,,beef ground 90 lean meat 10 fat raw,1,
"Beef, ground, 90% lean meat / 10% fat, raw",,,MEAT,176.0,20.0,0.0,10.0,,USDA_FDC_SR_LEGACY,23562,2018-04,True,,beef ground 90 lean meat 10 fat raw,3,
"Egg, whole, dried",,,EGGS,576.0,48.1,1.87,39.8,,USDA_FDC_FOUNDATION,1133,2026-04-30,True,,egg whole dried,1,
"Egg, whole, dried",,,EGGS,592.0,48.05,1.13,43.9,,USDA_FDC_SR_LEGACY,1133,2018-04,True,,egg whole dried,3,
"Egg, yolk, dried",,,EGGS,654.0,34.2,1.07,55.5,,USDA_FDC_FOUNDATION,1137,2026-04-30,True,,egg yolk dried,1,
"Egg, yolk, dried",,,EGGS,669.0,33.63,0.66,59.13,,USDA_FDC_SR_LEGACY,1137,2018-04,True,,egg yolk dried,3,
"Garlic, raw",,,VEGETABLE,130.0,6.62,28.2,0.38,,USDA_FDC_FOUNDATION,11215,2026-04-30,True,,garlic raw,1,
"Garlic, raw",,,VEGETABLE,149.0,6.36,33.06,0.5,,USDA_FDC_SR_LEGACY,11215,2018-04,True,,garlic raw,3,
"Nuts, almonds, dry roasted, with salt added",,,NUTS_SEEDS,621.0,20.4,16.2,57.8,,USDA_FDC_FOUNDATION,12563,2026-04-30,True,,nuts almonds dry roasted with salt added,1,
"Nuts, almonds, dry roasted, with salt added",,,NUTS_SEEDS,598.0,20.96,21.01,52.54,,USDA_FDC_SR_LEGACY,12563,2018-04,True,,nuts almonds dry roasted with salt added,3,
"Nuts, cashew nuts, raw",,,NUTS_SEEDS,533.48,17.44,36.29,38.86,,USDA_FDC_FOUNDATION,12087,2026-04-30,True,,nuts cashew nuts raw,1,
"Nuts, cashew nuts, raw",,,NUTS_SEEDS,553.0,18.22,30.19,43.85,,USDA_FDC_SR_LEGACY,12087,2018-04,True,,nuts cashew nuts raw,3,
"Nuts, macadamia nuts, raw",,,NUTS_SEEDS,668.54,7.79,24.09,64.93,,USDA_FDC_FOUNDATION,12131,2026-04-30,True,,nuts macadamia nuts raw,1,
"Nuts, macadamia nuts, raw",,,NUTS_SEEDS,718.0,7.91,13.82,75.77,,USDA_FDC_SR_LEGACY,12131,2018-04,True,,nuts macadamia nuts raw,3,
"Oil, coconut",,,FATS_OILS,833.0,0.0,0.84,99.1,,USDA_FDC_FOUNDATION,4047,2026-04-30,True,,oil coconut,1,
"Oil, coconut",,,FATS_OILS,892.0,0.0,0.0,99.06,,USDA_FDC_SR_LEGACY,4047,2018-04,True,,oil coconut,3,
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",,,VEGETABLE,289.0,4.52,36.3,14.4,,USDA_FDC_FOUNDATION,11296,2026-04-30,True,,onion rings breaded par fried frozen prepared heated in oven,1,
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",,,VEGETABLE,276.0,4.14,33.79,14.3,,USDA_FDC_SR_LEGACY,11296,2018-04,True,,onion rings breaded par fried frozen prepared heated in oven,3,
"Pancakes, whole-wheat, dry mix, incomplete",,,OTHER,344.0,12.8,71.0,1.5,,USDA_FDC_SR_LEGACY,18299,2018-04,True,,pancakes whole wheat dry mix incomplete,3,
"Pancakes, whole wheat, dry mix, incomplete",,,OTHER,350.0,10.53,74.11,1.32,,USDA_FDC_SR_LEGACY,28324,2018-04,True,,pancakes whole wheat dry mix incomplete,3,
"Parsnips, raw",,,VEGETABLE,87.07,1.27,19.29,0.54,,USDA_FDC_FOUNDATION,11298,2026-04-30,True,,parsnips raw,1,
"Parsnips, raw",,,VEGETABLE,75.0,1.2,17.99,0.3,,USDA_FDC_SR_LEGACY,11298,2018-04,True,,parsnips raw,3,
"Restaurant, Chinese, sweet and sour pork",,,OTHER,260.0,8.88,25.5,13.6,,USDA_FDC_FOUNDATION,334462,2026-04-30,True,,restaurant chinese sweet and sour pork,1,
"Restaurant, Chinese, sweet and sour pork",,,OTHER,260.0,8.88,25.5,13.6,,USDA_FDC_FOUNDATION,36622,2026-04-30,True,,restaurant chinese sweet and sour pork,1,
"Restaurant, Chinese, sweet and sour pork",,,OTHER,270.0,8.91,23.34,15.66,,USDA_FDC_SR_LEGACY,36622,2018-04,True,,restaurant chinese sweet and sour pork,3,
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",,,MEAT,329.0,13.3,3.37,28.7,,USDA_FDC_FOUNDATION,324157,2026-04-30,True,,sausage breakfast sausage beef pre cooked unprepared,1,
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",,,MEAT,346.0,13.3,3.37,28.7,,USDA_FDC_FOUNDATION,7954,2026-04-30,True,,sausage breakfast sausage beef pre cooked unprepared,1,
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",,,MEAT,327.0,12.9,4.61,28.22,,USDA_FDC_SR_LEGACY,7954,2018-04,True,,sausage breakfast sausage beef pre cooked unprepared,3,
"Sausage, turkey, breakfast links, mild, raw",,,MEAT,169.0,16.7,0.93,10.4,,USDA_FDC_FOUNDATION,325992,2026-04-30,True,,sausage turkey breakfast links mild raw,1,
"Sausage, turkey, breakfast links, mild, raw",,,MEAT,169.0,16.7,0.93,10.4,,USDA_FDC_FOUNDATION,7919,2026-04-30,True,,sausage turkey breakfast links mild raw,1,
"Sausage, turkey, breakfast links, mild, raw",,,MEAT,174.0,15.91,3.18,10.39,,USDA_FDC_SR_LEGACY,7919,2018-04,True,,sausage turkey breakfast links mild raw,3,
"Seeds, sunflower seed kernels, dry roasted, with salt added",,,NUTS_SEEDS,612.0,21.0,17.1,56.1,,USDA_FDC_FOUNDATION,12537,2026-04-30,True,,seeds sunflower seed kernels dry roasted with salt added,1,
"Seeds, sunflower seed kernels, dry roasted, with salt added",,,NUTS_SEEDS,582.0,19.33,24.07,49.8,,USDA_FDC_SR_LEGACY,12537,2018-04,True,,seeds sunflower seed kernels dry roasted with salt added,3,
"Yogurt, plain, whole milk",,,EGGS,77.32,3.82,5.57,4.48,,USDA_FDC_FOUNDATION,1116,2026-04-30,True,,yogurt plain whole milk,1,
"Yogurt, plain, whole milk",,,EGGS,61.0,3.47,4.66,3.25,,USDA_FDC_SR_LEGACY,1116,2018-04,True,,yogurt plain whole milk,3,
