name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at
"Alcoholic Beverage, wine, table, red, Barbera",,,BEVERAGES,85.0,0.07,2.79,0.0,,USDA_FDC_SR_LEGACY,14101,2018-04,True,
"Alcoholic Beverage, wine, table, red, Burgundy",,,BEVERAGES,86.0,0.07,3.69,0.0,,USDA_FDC_SR_LEGACY,14152,2018-04,True,
"Alcoholic Beverage, wine, table, red, Cabernet Franc",,,BEVERAGES,83.0,0.07,2.45,0.0,,USDA_FDC_SR_LEGACY,14098,2018-04,True,
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",,,BEVERAGES,83.0,0.07,2.6,0.0,,USDA_FDC_SR_LEGACY,14097,2018-04,True,
"Alcoholic Beverage, wine, table, red, Carignane",,,BEVERAGES,74.0,0.07,2.4,0.0,,USDA_FDC_SR_LEGACY,14109,2018-04,True,
"Alcoholic Beverage, wine, table, red, Claret",,,BEVERAGES,83.0,0.07,3.01,0.0,,USDA_FDC_SR_LEGACY,14105,2018-04,True,
"Alcoholic Beverage, wine, table, red, Gamay",,,BEVERAGES,78.0,0.07,2.38,0.0,,USDA_FDC_SR_LEGACY,14158,2018-04,True,
"Alcoholic Beverage, wine, table, red, Lemberger",,,BEVERAGES,80.0,0.07,2.46,0.0,,USDA_FDC_SR_LEGACY,14107,2018-04,True,
"Alcoholic Beverage, wine, table, red, Merlot",,,BEVERAGES,83.0,0.07,2.51,0.0,,USDA_FDC_SR_LEGACY,14602,2018-04,True,
"Alcoholic Beverage, wine, table, red, Mouvedre",,,BEVERAGES,88.0,0.07,2.64,0.0,,USDA_FDC_SR_LEGACY,14159,2018-04,True,
"Alcoholic Beverage, wine, table, red, Petite Sirah",,,BEVERAGES,85.0,0.07,2.68,0.0,,USDA_FDC_SR_LEGACY,14103,2018-04,True,
"Alcoholic Beverage, wine, table, red, Pinot Noir",,,BEVERAGES,82.0,0.07,2.31,0.0,,USDA_FDC_SR_LEGACY,14099,2018-04,True,
"Alcoholic Beverage, wine, table, red, Sangiovese",,,BEVERAGES,86.0,0.07,2.62,0.0,,USDA_FDC_SR_LEGACY,14108,2018-04,True,
"Alcoholic Beverage, wine, table, red, Syrah",,,BEVERAGES,83.0,0.07,2.58,0.0,,USDA_FDC_SR_LEGACY,14100,2018-04,True,
"Alcoholic Beverage, wine, table, red, Zinfandel",,,BEVERAGES,88.0,0.07,2.86,0.0,,USDA_FDC_SR_LEGACY,14102,2018-04,True,
"Alcoholic beverage, beer, light",,,BEVERAGES,29.0,0.24,1.64,0.0,,USDA_FDC_SR_LEGACY,14006,2018-04,True,
"Alcoholic beverage, beer, light, BUD LIGHT",,,BEVERAGES,29.0,0.25,1.3,0.0,,USDA_FDC_SR_LEGACY,14007,2018-04,True,
"Alcoholic beverage, beer, light, BUDWEISER SELECT",,,BEVERAGES,28.0,0.2,0.87,0.0,,USDA_FDC_SR_LEGACY,14005,2018-04,True,
"Alcoholic beverage, beer, light, higher alcohol",,,BEVERAGES,46.0,0.25,0.77,0.0,,USDA_FDC_SR_LEGACY,14248,2018-04,True,
"Alcoholic beverage, beer, light, low carb",,,BEVERAGES,27.0,0.17,0.73,0.0,,USDA_FDC_SR_LEGACY,14013,2018-04,True,
"Alcoholic beverage, beer, regular, BUDWEISER",,,BEVERAGES,41.0,0.36,2.97,0.0,,USDA_FDC_SR_LEGACY,14004,2018-04,True,
"Alcoholic beverage, beer, regular, all",,,BEVERAGES,43.0,0.46,3.55,0.0,,USDA_FDC_SR_LEGACY,14003,2018-04,True,
"Alcoholic beverage, creme de menthe, 72 proof",,,BEVERAGES,371.0,0.0,41.6,0.3,,USDA_FDC_SR_LEGACY,14034,2018-04,True,
"Alcoholic beverage, daiquiri, canned",,,BEVERAGES,125.0,0.0,15.7,0.0,,USDA_FDC_SR_LEGACY,14009,2018-04,True,
"Alcoholic beverage, daiquiri, prepared-from-recipe",,,BEVERAGES,186.0,0.06,6.94,0.06,,USDA_FDC_SR_LEGACY,14010,2018-04,True,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",,,BEVERAGES,295.0,0.0,0.0,0.0,,USDA_FDC_SR_LEGACY,14533,2018-04,True,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",,,BEVERAGES,231.0,0.0,0.0,0.0,,USDA_FDC_SR_LEGACY,14037,2018-04,True,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",,,BEVERAGES,250.0,0.0,0.1,0.0,,USDA_FDC_SR_LEGACY,14550,2018-04,True,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",,,BEVERAGES,263.0,0.0,0.0,0.0,,USDA_FDC_SR_LEGACY,14551,2018-04,True,
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",,,BEVERAGES,275.0,0.0,0.0,0.0,,USDA_FDC_SR_LEGACY,14532,2018-04,True,
"Alcoholic beverage, distilled, rum, 80 proof",,,BEVERAGES,231.0,0.0,0.0,0.0,,USDA_FDC_SR_LEGACY,14050,2018-04,True,
