_name_key,name_en,source,external_source_id,source_category,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g
almond milk unsweetened plain shelf stable,"Almond milk, unsweetened, plain, shelf stable",USDA_FDC_FOUNDATION,1750338,Beverages,BEVERAGES,14.56,0.55,0.34,1.22
almond milk unsweetened plain shelf stable,"Almond milk, unsweetened, plain, shelf stable",USDA_FDC_FOUNDATION,14091,Beverages,BEVERAGES,14.56,0.55,0.34,1.22
apples fuji with skin raw,"Apples, fuji, with skin, raw",USDA_FDC_FOUNDATION,1105897,Fruits and Fruit Juices,FRUIT,58.0,0.15,15.7,0.16
apples fuji with skin raw,"Apples, fuji, with skin, raw",USDA_FDC_FOUNDATION,9504,Fruits and Fruit Juices,FRUIT,58.2,0.15,15.65,0.16
apples gala with skin raw,"Apples, gala, with skin, raw",USDA_FDC_FOUNDATION,1105781,Fruits and Fruit Juices,FRUIT,55.0,0.13,14.8,0.15
apples gala with skin raw,"Apples, gala, with skin, raw",USDA_FDC_FOUNDATION,9503,Fruits and Fruit Juices,FRUIT,54.87,0.13,14.77,0.15
apples granny smith with skin raw,"Apples, granny smith, with skin, raw",USDA_FDC_FOUNDATION,1105664,Fruits and Fruit Juices,FRUIT,53.0,0.27,14.2,0.14
apples granny smith with skin raw,"Apples, granny smith, with skin, raw",USDA_FDC_FOUNDATION,9502,Fruits and Fruit Juices,FRUIT,52.96,0.27,14.14,0.14
apples honeycrisp with skin raw,"Apples, honeycrisp, with skin, raw",USDA_FDC_FOUNDATION,1105547,Fruits and Fruit Juices,FRUIT,54.0,0.1,14.7,0.1
apples honeycrisp with skin raw,"Apples, honeycrisp, with skin, raw",USDA_FDC_FOUNDATION,9501,Fruits and Fruit Juices,FRUIT,54.03,0.1,14.68,0.1
apples red delicious with skin raw,"Apples, red delicious, with skin, raw",USDA_FDC_FOUNDATION,1105430,Fruits and Fruit Juices,FRUIT,56.0,0.19,14.8,0.21
apples red delicious with skin raw,"Apples, red delicious, with skin, raw",USDA_FDC_FOUNDATION,9500,Fruits and Fruit Juices,FRUIT,55.62,0.19,14.78,0.21
applesauce unsweetened with added vitamin c,"Applesauce, unsweetened, with added vitamin C",USDA_FDC_FOUNDATION,2263892,Fruits and Fruit Juices,FRUIT,46.42,0.27,12.26,0.16
applesauce unsweetened with added vitamin c,"Applesauce, unsweetened, with added vitamin C",USDA_FDC_FOUNDATION,9401,Fruits and Fruit Juices,FRUIT,46.42,0.27,12.26,0.16
